lat,lon,corrected_best_combined_lcow_usd_m3,corrected_hydrogel_thickness_mm,corrected_vapor_gap_mm,corrected_fin_area_ratio,original_best_combined_lcow_usd_m3,original_design_corrected_lcow_usd_m3,regret_frac,design_changed
9.0,78.0,4.2891948818693555,2.939427358284869,59.99999981386543,11.999999983809529,7.113410670778496,4.3052244107487745,0.003737188288454001,True
9.0,81.0,4.082587625411466,2.6487937079101047,48.40012017985068,12.0,6.736050474568147,4.09609556525004,0.0033086711365349778,True
9.0,99.0,4.018148386173299,2.2035769586147103,51.68558921418201,12.0,6.564928491120983,4.035182945380839,0.004239405211155835,True
9.0,105.0,4.1273610963372915,2.2035769586147103,51.68558921418201,12.0,6.752236711302781,4.150313359463715,0.005561001955169896,True
9.0,126.0,4.265443847123103,2.1959546814572053,43.23249828171774,12.0,6.9514715847743735,4.272774581188371,0.0017186333539973714,True
12.0,-84.0,4.21933926175533,1.9893782033230263,29.780700521789583,12.0,6.8393443208239315,4.246896728263498,0.006531227947928384,True
12.0,-72.0,3.8847007208887447,2.816916455177926,59.06942012613414,12.0,6.449281173574384,3.898653756591365,0.0035917916733179157,True
12.0,-15.0,4.921662171940832,3.0397776570023054,56.26868460244371,11.416180117084606,8.135400798254466,4.945442206790912,0.004831708073271307,True
12.0,-12.0,5.888279187984576,2.6827961980667814,60.0,12.0,9.726773029661775,5.898061614368711,0.001661338749714231,True
12.0,-9.0,6.3526190163390055,2.6303488640312027,60.0,12.0,10.440015169469788,6.389841659407633,0.005859416875605243,True
12.0,-6.0,6.226409845432142,2.5957410115748125,59.99999992189206,11.999999649108624,10.274244162626921,6.266785204749666,0.006484532872044034,True
12.0,-3.0,6.136383129141979,2.7337873785907405,60.0,12.0,10.140586817719935,6.165551336931669,0.004753322466318724,True
12.0,0.0,6.293313497249179,2.8477806635922183,59.99999350520477,11.99999994204865,10.421285980006948,6.314073197130131,0.0032986915223635984,True
12.0,3.0,6.575242026891297,2.6661991437743318,60.0,12.0,10.854724301799926,6.584896304310382,0.0014682771188650617,True
12.0,6.0,6.082894505851108,2.5757661554031985,59.99999947149545,11.999998374731305,10.020281451918148,6.105209757039758,0.0036685251021837135,True
12.0,9.0,6.030006182805892,3.1798392390500467,60.0,12.0,9.983997088371156,6.056706063332895,0.0044278363433747255,True
12.0,12.0,6.922917006670622,2.7038710627018916,59.99999916992298,11.999999916664008,11.379045372854312,6.9412286146920685,0.002645071146137098,True
12.0,15.0,7.485617250006321,2.8784356481574545,59.99999976365719,11.999999916217702,12.370343573815184,7.517728504908012,0.004289727063144217,True
12.0,18.0,7.509326757666642,2.5787597633410755,60.0,12.0,12.373509757220436,7.523689477332648,0.0019126507780930558,True
12.0,21.0,7.49877258395525,2.717188661548057,60.0,12.0,12.394033072143012,7.509448860444206,0.0014237365341361215,True
12.0,24.0,7.610058459292551,2.6992451226534384,59.9999985250915,11.999999992660452,12.5586305729315,7.640381559796174,0.003984608090177826,True
12.0,27.0,7.831129063112856,3.0657652476888253,60.0,12.0,12.998826363125337,7.880929861122766,0.006359338175702891,True
12.0,30.0,7.593848809151726,3.023652579176685,59.99999999669933,11.999999999576335,12.6208030823497,7.6458382877983295,0.006846262014585801,True
12.0,33.0,7.402465588631418,2.9198120361396254,59.99999942761837,11.999999970725327,12.316225335088545,7.428376788619561,0.003500347239430219,True
12.0,36.0,5.859819024152399,2.6583592767980524,60.0,12.0,9.689803227427987,5.879425006610235,0.0033458341250858377,True
12.0,39.0,6.167987827293561,3.3034065630122202,56.26868449947611,11.416180088644262,10.261563971926456,6.1951310328932445,0.0044006581011029255,True
12.0,42.0,4.980784146241684,3.450949344053591,59.99999955796101,11.999999985217988,8.373987656694336,5.00296321609435,0.004452927330609355,True
12.0,51.0,4.39692216432449,3.689082940678891,59.99999966692855,11.999999997341597,7.430083993507743,4.416344982632634,0.004417366872158034,True
12.0,78.0,4.5825326083701645,2.5779328379756827,59.999997061814206,11.999999964657256,7.546822163131838,4.595404910316082,0.00280899298401196,True
