lat,lon,hydrogel_thickness_mm,vapor_gap_mm,fin_area_ratio,insulation_gap_mm,tilt_deg,salt,salt_loading,case,warmup_method,resolution,best_combined_lcow_usd_m3,n_evals,stopped_reason,wall_time_s,improvement_vs_baseline_frac,flagged_as_surrogate_artifact,max_neighbor_improvement_frac,cv_rmse,standardized_residual_mean,standardized_residual_std,msll_gp_minus_trivial,n_hyperparameter_warnings,n_de_calls,frac_de_hit_maxiter,frac_de_not_success
-42.0,-66.0,2.237902271888044,59.99999997780017,11.99999999324575,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,16.037227,36,stalled,736.3,0.07422879443190036,False,-0.002412,0.25000336642512594,0.11580954260875567,1.249455192368755,-3.741805011645358,4,12,0.0,0.0
-42.0,147.0,1.9803633482426592,46.35650141202613,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,12.605638,33,stalled,551.4,0.10171764999543176,False,-0.002538,0.8482651230754723,-0.19941744937635933,4.99958488205875,8.675813372549708,2,9,0.0,0.0
-42.0,174.0,2.2274737853700914,59.999999200094024,11.99999994281701,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,13.216492,33,stalled,555.3,0.07833538284155095,False,-0.001493,0.12327555784824101,-0.11593947806869084,1.727314124271611,-3.6839764308839738,4,9,0.0,0.0
-39.0,-72.0,1.8034214209711559,60.0,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,14.830093,33,stalled,700.7,0.11582932754971752,False,-0.001249,0.19455732112283677,0.4270236898255982,2.9941488606484805,-0.3042441752315894,2,9,0.0,0.0
-39.0,-69.0,2.11989215255467,59.9999997446955,10.305703699659519,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,17.404971,33,stalled,722.9,0.12268455377914345,False,-0.003901,0.24168284083226443,0.17110901632948214,2.1568317266980928,-2.5942394816447245,4,9,0.0,0.0
-39.0,-66.0,2.535076206781306,59.999999807346036,11.999999996306896,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,15.018805,36,stalled,732.8,0.08819313948265232,False,-0.005032,0.32695770664057733,0.9818983461336123,5.860522392058636,13.059100261375768,4,12,0.0,0.0
-39.0,-63.0,2.3611496101764,59.99999995564148,11.99999999128297,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,12.679026,36,stalled,717.3,0.06502525990145044,False,-0.001392,0.15414412786224224,0.12706244887502732,1.2265291098781992,-4.102882037079468,4,12,0.0,0.0
-39.0,177.0,2.0851455313157055,60.0,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,11.947252,33,stalled,543.9,0.09932066393561487,False,-0.003118,0.6148096977813055,0.6526355339799871,7.438613095478155,23.732799179582198,2,9,0.0,0.0
-36.0,-72.0,2.348839254189235,59.999999982031525,11.999999998981773,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,11.838762,36,stalled,713.5,0.085525397259703,False,-0.001232,0.10912370003947611,0.1813596819436599,1.3240486071049757,-4.200270894889642,4,12,0.0,0.0
-36.0,-69.0,2.462648037724331,60.0,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,13.862378,36,stalled,871.6,0.09297715497644905,False,-0.005438,0.18617420714733784,0.4189461108697249,1.4628069647340716,-3.475011257241486,3,12,0.0,0.0
-36.0,-66.0,2.5337157781092854,59.999999682621095,11.999999997074134,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,12.288230,36,stalled,709.3,0.06984821033157282,False,-0.004288,0.18030472825324143,0.2809514149699827,1.6164415261429124,-3.2961122679937427,3,12,0.0,0.0
-36.0,-63.0,2.148770033692177,59.999999045041704,11.999999991109002,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,11.382635,33,stalled,546.4,0.06585914555079998,False,-0.000172,0.17572991561287743,0.23159304813120798,2.0926174998846694,-2.4272243766176405,4,9,0.0,0.0
-36.0,-60.0,2.090232796689397,59.99999997721131,11.999999909381506,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,11.157032,33,stalled,296.4,0.07409363466720677,False,-0.001091,0.10984121254524722,0.4261315333534236,2.8311203220303836,-0.708997069867809,4,9,0.0,0.0
-36.0,141.0,2.241261665914266,59.9999986584951,11.999999848449047,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,11.659563,33,stalled,611.6,0.07686143318715583,False,0.000447,0.14616448939366902,0.28655378393243286,3.758987233651823,2.4380069108086597,4,9,0.0,0.0
-36.0,144.0,2.2788095717037944,59.99999988423578,11.484446030238079,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,11.874665,39,stalled,918.8,0.07905521260103554,False,-0.003026,0.3336948661663205,0.32071777680879504,2.4275561272325863,-1.7348383885937455,4,15,0.0,0.0
-36.0,147.0,2.247168430817771,59.9999983100078,11.999999820691066,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,12.002950,33,stalled,638.4,0.07829207447645696,False,-0.003002,0.10570435261438112,-0.05070066529832202,1.4183159817923277,-3.8811768658224524,3,9,0.0,0.0
-36.0,150.0,2.0461217320234932,59.99999996381784,11.999999980945635,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,10.775559,33,stalled,612.5,0.09891783723812096,False,-0.001954,0.10016491873193532,0.7808412881488624,3.9016405104847123,2.2395561082743067,4,9,0.0,0.0
-36.0,174.0,2.0157578830523306,59.99999986024361,11.999999971741678,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,10.838178,33,stalled,605.0,0.09803152321874144,False,-0.001928,0.09965589187683516,0.12062836950286507,1.9423873037685355,-3.5226861776176213,3,9,0.0,0.0
-33.0,-69.0,2.5003720507119915,59.99999983758272,11.999999957124523,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,13.417675,36,stalled,788.8,0.07381649982637717,False,-0.003853,0.1923847108771344,0.22295026471675491,2.0571276444415534,-2.5084934585601655,3,12,0.0,0.0
-33.0,-66.0,2.633920609506136,59.99999983826775,11.99999999621876,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,10.590549,36,stalled,761.0,0.05213006087461358,False,-0.002146,0.14669135792943774,0.26950459988257164,1.386228861709079,-3.9499566482367383,4,12,0.0,0.0
-33.0,-63.0,2.190126065359445,59.999999792053785,11.999999907841,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,10.279788,33,stalled,606.6,0.06863383111521194,False,-0.000486,0.10534969152155296,0.3680267551828562,2.293700538959214,-2.1138509412182436,4,9,0.0,0.0
3.0,-57.0,2.317024475214104,60.0,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.668657,39,stalled,755.7,0.07757014298475427,False,-0.001305,0.2952750791633882,0.3659376140376893,3.822250217428474,3.3979685104411557,4,15,0.0,0.0
3.0,-54.0,2.125373114622626,52.61548597947724,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.439759,33,stalled,497.8,0.10412219653008445,False,-0.003123,1.045665971586697,0.35025078583554625,7.566067925258944,25.621115707233272,3,9,0.0,0.0
3.0,-51.0,2.260977865328085,59.999999230478416,11.999999779577395,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.822897,33,stalled,470.5,0.08394692829345135,False,-0.001721,0.696941180616678,0.24479386337867703,5.622187278590913,12.562038764740237,3,9,0.0,0.0
3.0,12.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.073966,33,stalled,499.0,0.13360786492203844,False,-0.001023,4.382773580152156,6.834591929274868,39.779167593244836,811.7078079080328,3,9,0.0,0.0
3.0,15.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.832452,33,stalled,481.1,0.10529694930891344,False,-0.000126,2.873921081730729,3.211639842548538,19.95273856480374,201.4152730339076,5,9,0.0,0.0
