lat,lon,standard_best_combined_lcow_usd_m3,standard_hydrogel_thickness_mm,simplified_best_combined_lcow_usd_m3,simplified_hydrogel_thickness_mm,lcow_reduction_frac,optimal_design_changed
12.0,24.0,7.610058459292551,2.6992451226534384,7.558007987110886,2.6992451226534384,0.006839694131141214,False
12.0,27.0,7.831129063112856,3.0657652476888253,7.771815662037956,3.0657652476888253,0.007574054851718018,False
12.0,30.0,7.593848809151726,3.023652579176685,7.536959097300237,3.023652579176685,0.007491551817956803,False
12.0,33.0,7.402465588631418,2.9198120361396254,7.348530704832818,2.9198120361396254,0.007286070181998799,False
12.0,36.0,5.859819024152399,2.6583592767980524,5.820233417519151,2.6583592767980524,0.006755431604643147,False
12.0,39.0,6.167987827293561,3.3034065630122202,6.116054226633116,3.5700838121545435,0.00841986108186481,True
12.0,42.0,4.980784146241684,3.450949344053591,4.939407668077648,3.450949344053591,0.008307221704288704,False
12.0,51.0,4.39692216432449,3.689082940678891,4.35848431651285,3.689082940678891,0.00874198959524791,False
12.0,78.0,4.5825326083701645,2.5779328379756827,4.552341696549361,2.5779328379756827,0.006588259026386217,False
12.0,99.0,4.299108813824348,2.329850378139365,4.273054389701157,2.329850378139365,0.006060424439458154,False
12.0,105.0,4.357544720380271,2.600588632534335,4.328444540442605,2.632652983794706,0.0066781138932583885,True
12.0,108.0,4.103129297623791,2.219811688915523,4.079248161419909,2.219811688915523,0.005820225118840949,False
15.0,-90.0,4.600845142514078,2.430608381500721,4.57196537621125,2.430608381500721,0.006277056803317481,False
15.0,-87.0,4.66908051453253,2.4345462261461983,4.639733195553086,2.4345462261461983,0.0062854600361034,False
15.0,-84.0,4.210833498606914,2.2035769586147103,4.1864760907988945,2.2035769586147103,0.005784462343637617,False
15.0,-15.0,6.434499483677981,2.8327839240715886,6.388740044466702,2.8327839240715886,0.00711157710515861,False
15.0,-12.0,7.651576791351276,2.709299664480694,7.59872188813413,2.8391941924824255,0.006907713881521685,True
