water_price_usd_per_m3,hydrogel_lifetime_years,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
2.7142857142857144,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,-11795.90136599094,inf,inf
4.428571428571429,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,-10607.326818941132,inf,inf
6.142857142857142,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,-9418.752271891326,inf,inf
7.857142857142857,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,-8230.17772484152,176.48767195762807,inf
9.571428571428571,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,-7041.603177791714,51.13261452415403,inf
11.285714285714285,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,-5853.028630741908,29.89727834981859,inf
13.0,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,-4664.454083692102,21.124351241502247,inf
14.714285714285714,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,-3475.8795366422955,16.331969317056448,inf
16.428571428571427,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,-2287.3049895924914,13.311950009665418,inf
18.142857142857142,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,-1098.7304425426828,11.234522886882488,29.75894549901711
19.857142857142858,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,89.84410450712494,9.717963616427976,19.523455640728315
21.57142857142857,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,1278.418651556929,8.562150515188307,15.008813147482334
23.285714285714285,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,2466.9931986067368,7.652048533402964,12.30716727092427
25.0,1.1428571428571428,21.497021836022054,0.0016638301493752347,10.0,19.72756035384049,3655.5677456565427,6.916833278404992,10.472474178634021
1.0,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,-12976.274429807932,inf,inf
2.7142857142857144,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,-11787.699882758126,inf,inf
