water_price_usd_per_m3,t_wh_in_c,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
14.714285714285714,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-12679.935816234134,inf,inf
16.428571428571427,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-12562.08598462555,inf,inf
18.142857142857142,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-12444.236153016966,inf,inf
19.857142857142858,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-12326.38632140838,inf,inf
21.57142857142857,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-12208.536489799795,inf,inf
23.285714285714285,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-12090.68665819121,inf,inf
25.0,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-11972.836826582625,inf,inf
1.0,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-13622.460566911159,inf,inf
2.7142857142857144,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-13504.141188688314,inf,inf
4.428571428571429,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-13385.821810465466,inf,inf
6.142857142857142,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-13267.50243224262,inf,inf
7.857142857142857,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-13149.183054019773,inf,inf
9.571428571428571,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-13030.863675796927,inf,inf
11.285714285714285,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-12912.54429757408,inf,inf
13.0,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-12794.224919351234,inf,inf
14.714285714285714,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-12675.905541128388,inf,inf
16.428571428571427,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-12557.586162905542,inf,inf
18.142857142857142,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-12439.266784682695,inf,inf
19.857142857142858,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-12320.947406459849,inf,inf
21.57142857142857,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-12202.628028237003,inf,inf
23.285714285714285,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-12084.308650014156,inf,inf
25.0,52.285714285714285,10.699851614669052,0.0010982855429842403,2.0,198.3707932802688,-11965.98927179131,inf,inf
1.0,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-13622.180153001817,inf,inf
2.7142857142857144,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-13503.380065220092,inf,inf
4.428571428571429,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-13384.57997743837,inf,inf
6.142857142857142,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-13265.77988965665,inf,inf
7.857142857142857,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-13146.979801874926,inf,inf
