sweep_param,param_value,param_label,daily_yield_kg_m2,thermal_efficiency,specific_energy_wh_kwh_per_l,specific_energy_parasitic_kwh_per_l,specific_energy_total_kwh_per_l,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
m_dot_wh_kg_s_m2,0.175,WH mass flow (kg/s/m²),21.103711531194534,0.0014386694132961675,435.58767627574474,0.07786417822761185,435.66554045397237,10,20.11530578296441,-10288.230869657473,inf,inf
m_dot_wh_kg_s_m2,0.2375,WH mass flow (kg/s/m²),23.20893905163991,0.001085006750632692,577.5693711594358,0.07080130428508023,577.6401724637209,11,16.62790396336185,-9574.460935204075,inf,inf
m_dot_wh_kg_s_m2,0.3,WH mass flow (kg/s/m²),22.808974880580436,0.0008652650138078639,724.2482437939192,0.07204283246100984,724.3202866263802,11,16.91948067208769,-9645.410330844228,inf,inf
rh_desorber_switch,0.2,Desorber RH switch,10.927989678641238,0.0008751746801621788,716.047528420885,0.15036829318577408,716.1978967140708,2,194.22950745801307,-13339.023968755253,inf,inf
rh_desorber_switch,0.275,Desorber RH switch,10.927989678641238,0.0008751746801621788,716.047528420885,0.15036829318577408,716.1978967140708,2,194.22950745801307,-13339.023968755253,inf,inf
rh_desorber_switch,0.35,Desorber RH switch,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
rh_desorber_switch,0.425,Desorber RH switch,30.18910732954133,0.002336581659578876,268.1980593734573,0.05443099519279507,268.25249036865006,32,4.394254751141217,1887.3619198329216,8.070386136872129,13.47975823630985
rh_desorber_switch,0.5,Desorber RH switch,31.718340521364045,0.0025244050034279814,248.24331508442316,0.051806719043899455,248.29512180346705,79,1.6941346772985695,26716.99613376843,2.4149120566868887,2.789343147669509
tau_half_min,180.0,Max half-cycle (min),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
tau_half_min,270.0,Max half-cycle (min),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
tau_half_min,360.0,Max half-cycle (min),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
tau_half_min,450.0,Max half-cycle (min),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
tau_half_min,540.0,Max half-cycle (min),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
c_vac_max,1e-07,Vacuum pump c_max (kg/s/Pa/m²),20.231545304720694,0.0015229556310697473,411.48058018373547,0.081220842559447,411.5618010262949,10,20.982461013799117,-10428.879073907086,inf,inf
c_vac_max,2.575e-06,Vacuum pump c_max (kg/s/Pa/m²),21.509307947954614,0.001660323826781985,377.43641123386317,0.07639591008251373,377.5128071439457,10,19.73599576670349,-10222.823145836268,inf,inf
c_vac_max,5e-06,Vacuum pump c_max (kg/s/Pa/m²),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
c_vac_max,5.05e-06,Vacuum pump c_max (kg/s/Pa/m²),21.497340379025378,0.0016638548040207406,376.63542825510575,0.07643843968402277,376.71186669478976,10,19.746982795124577,-10224.753072756204,inf,inf
c_vac_max,7.525e-06,Vacuum pump c_max (kg/s/Pa/m²),21.508508157145563,0.0016647191696095944,376.4398693226023,0.0763987508535373,376.5162680734558,10,19.73672964689203,-10222.952122558427,inf,inf
c_vac_max,1e-05,Vacuum pump c_max (kg/s/Pa/m²),21.5140712755405,0.0016651497447925498,376.3425293289397,0.0763789956295827,376.41890832456926,10,19.73162611430877,-10222.054997000792,inf,inf
ua_wh_desorber_w_k,160.0,WH-to-desorber UA_eq (W/K),15.960105372319589,0.00123694327448941,506.6252265491677,0.10295816459827156,506.7281847137659,5,53.1960912153665,-12404.592399960393,inf,inf
ua_wh_desorber_w_k,320.0,WH-to-desorber UA_eq (W/K),21.719073888992178,0.0015394681574323252,407.06698845391014,0.07565806738941429,407.1426465212996,9,21.717091866127628,-10539.244101783199,inf,inf
ua_wh_desorber_w_k,480.0,WH-to-desorber UA_eq (W/K),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
ua_wh_desorber_w_k,640.0,WH-to-desorber UA_eq (W/K),22.693864233629,0.0017331991426405454,361.56645318433175,0.07240825709594319,361.6388614414277,11,17.00530177096158,-9665.829736940823,inf,inf
ua_wh_desorber_w_k,800.0,WH-to-desorber UA_eq (W/K),24.555633906431375,0.0017787915063020208,352.2991111923294,0.06691837654000297,352.3660295688694,12,14.406320908696207,-8939.579878353,inf,inf
h_amb_w_m2_k,5.0,h_amb (W/m²K),20.77734117609792,0.0014709091425383369,426.04036411469485,0.07908726828913937,426.119451382984,3,68.10425629766534,-12686.294849582973,inf,inf
h_amb_w_m2_k,10.0,h_amb (W/m²K),20.416129806138834,0.0015854915257156278,395.2507197311031,0.0804865158838746,395.331206246987,5,41.585512497273086,-12045.296307263161,inf,inf
h_amb_w_m2_k,15.0,h_amb (W/m²K),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
h_amb_w_m2_k,20.0,h_amb (W/m²K),23.143843922408614,0.0018021767967447064,347.72763016293527,0.07100044233957252,347.79863060527487,19,9.653757559200267,-6600.210240071316,40.460359832083746,inf
h_amb_w_m2_k,25.0,h_amb (W/m²K),23.21718313028088,0.0018115572080419189,345.9270642322248,0.0707761637881847,345.997840396013,27,6.771925779457527,-3582.4797145090415,16.671177101394687,inf
discount_rate,0.04,Discount rate,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,16.258391069633696,-10804.878490519637,inf,inf
discount_rate,0.06,Discount rate,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,17.937126455383574,-10478.809126740385,inf,inf
discount_rate,0.07999999999999999,Discount rate,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.747275406038497,-10224.804441979219,inf,inf
discount_rate,0.08,Discount rate,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
discount_rate,0.09999999999999999,Discount rate,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,21.673401543969764,-10024.189584117677,inf,inf
discount_rate,0.12,Discount rate,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,23.69970520789994,-9863.628014544443,inf,inf
device_lifetime_years,10.0,Device lifetime (yr),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,25.569468661878936,-9746.855632405492,inf,inf
device_lifetime_years,15.0,Device lifetime (yr),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,21.59564278838519,-10031.250246380754,inf,inf
device_lifetime_years,20.0,Device lifetime (yr),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
device_lifetime_years,25.0,Device lifetime (yr),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,18.73858461636103,-10356.534175218918,inf,inf
device_lifetime_years,30.0,Device lifetime (yr),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,18.13987540535469,-10446.187218211595,inf,inf
hydrogel_lifetime_years,0.5,Hydrogel lifetime (yr),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.904995823622553,-10334.157551750053,inf,inf
hydrogel_lifetime_years,0.875,Hydrogel lifetime (yr),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.769806894264793,-10240.426314803623,inf,inf
hydrogel_lifetime_years,1.0,Hydrogel lifetime (yr),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
hydrogel_lifetime_years,1.25,Hydrogel lifetime (yr),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.71573132252169,-10202.933820025051,inf,inf
hydrogel_lifetime_years,1.625,Hydrogel lifetime (yr),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.68661370696771,-10182.74555360582,inf,inf
