lat,lon,sawh_lcow,coast_km,elev_m,desal_lcow,sawh_cheaper
27.0,-81.0,4.712776442183749,79.98570588731046,4.0,2.106205885949676,False
27.0,-12.0,5.271058063703918,120.5725432035079,224.0,3.7573751367036374,False
27.0,-9.0,6.911343018146318,271.1318994371622,454.0,6.951971194356663,True
27.0,-6.0,10.186818305450627,489.3635318029813,379.0,9.540556761884487,False
27.0,-3.0,11.799241234824612,736.4224619457004,418.0,13.090617033222612,True
27.0,0.0,13.228614713450316,918.2455096804448,274.0,14.839774021460439,True
27.0,3.0,12.53579192720814,1012.5561853186874,357.0,16.535512996627773,True
27.0,6.0,11.322237410611356,854.3571034174149,443.0,14.817169464408494,True
27.0,9.0,10.819591673984233,723.9435992479098,535.0,13.506154077786615,True
27.0,12.0,9.30021508590135,609.4943217657806,493.0,11.7419328895793,True
27.0,15.0,8.509182717000304,486.5590151593823,471.0,9.962471425864411,True
27.0,18.0,7.901571368342828,377.1122623080773,503.0,8.63618452214369,True
27.0,21.0,7.761431648283523,401.81225091429485,191.0,7.411610367416124,False
27.0,24.0,7.668420647735128,517.9458869083417,231.0,9.18870514421528,True
27.0,27.0,7.22547183181267,465.21066149499177,177.0,8.202560783101989,True
27.0,30.0,7.1114018035357125,334.02404100814664,198.0,6.526046476890632,False
27.0,33.0,7.720888344912583,78.71753256416068,430.0,4.2189840922213016,False
27.0,36.0,5.573217785576665,6.362815923634596,136.0,1.766407040242958,False
27.0,39.0,8.2900579393829,254.79643608983514,1036.0,9.64013560209996,True
27.0,42.0,9.529892370065715,506.6992187370004,1056.0,13.160975390448467,True
27.0,45.0,9.699009541269554,376.7956743209434,588.0,9.056885257278411,False
27.0,48.0,8.36387900474759,112.62330109487353,206.0,3.5594244288683825,False
27.0,54.0,6.159180397172867,30.543175472263105,357.0,3.199776322913333,False
27.0,57.0,4.918963633314925,8.892938219787588,3.0,1.1357661010247153,False
27.0,60.0,7.383067658481324,177.35053504014599,580.0,6.308420265845182,False
27.0,63.0,7.188201656373501,191.35730899278425,1005.0,8.623632256122011,True
27.0,66.0,6.373499646862356,158.30985857350123,1379.0,10.044847879428147,True
27.0,69.0,6.167733508045581,298.14240065400105,47.0,5.283773800881335,False
27.0,72.0,6.809543511571536,460.6759893346664,238.0,8.44597993516477,True
27.0,75.0,6.470311557795667,574.4001802779717,362.0,10.610354448174856,True
27.0,78.0,5.889961918639598,745.6471396296804,157.0,11.91088815617106,True
27.0,81.0,5.705048416175657,869.3925548177176,123.0,13.421350894424606,True
27.0,84.0,5.580699318354561,650.3662907835095,90.0,10.281974228840058,True
27.0,87.0,6.258927830155266,513.205769904258,1892.0,17.429334355299822,True
27.0,90.0,6.530554096313113,383.85464435356675,2088.0,16.652746070321435,True
27.0,93.0,5.779242772016034,449.05503904039375,389.0,9.043167430168548,True
27.0,96.0,6.043135357699044,645.676240291207,1279.0,16.163283343154593,True
27.0,99.0,7.958275822333872,885.258161211045,3531.0,30.676805829245993,True
27.0,102.0,6.263673883489099,819.179939748351,1881.0,21.529463581782608,True
27.0,105.0,6.7418334953885335,667.0412231814323,1748.0,18.79841981080385,True
27.0,108.0,7.005531697016626,568.6545121578854,829.0,12.867328275104084,True
27.0,111.0,6.673629202879177,502.23758416048463,369.0,9.665386392899382,True
27.0,114.0,6.262676692510893,432.29559984368166,141.0,7.575574245877197,True
27.0,117.0,6.215688139493429,234.1211291418081,467.0,6.514364933745754,True
27.0,120.0,6.0824538053366775,18.68145074160406,649.0,4.498694101070983,False
30.0,-111.0,6.800484648674576,143.46033144511793,640.0,6.148191301024702,False
30.0,-108.0,8.71005882786036,342.05287959673956,1648.0,13.885078104923723,True
30.0,-105.0,8.711225566540714,569.0487280496139,1222.0,14.837681726913758,True
30.0,-102.0,5.977252610064092,500.09873751666794,573.0,10.656340855476351,True
30.0,-99.0,5.7094385252301745,270.04082590985206,520.0,7.267154415855791,True
30.0,-96.0,5.189209805066365,99.88069597289454,61.0,2.661379851311908,False
30.0,-93.0,4.908833424016103,28.850001769069046,0.0,1.3917830240239577,False
30.0,-90.0,5.534469710241933,6.615032997570535,0.0,1.089832148107008,False
30.0,-9.0,7.113409759605621,65.3433953498974,1164.0,7.707363308851607,True
30.0,-6.0,11.368261009441056,350.5286926736166,889.0,10.205179646507712,False
