lat,lon,elev_m
-33.0,-54.0,119.0
-33.0,21.0,437.0
-33.0,24.0,203.0
-33.0,27.0,0.0
-33.0,117.0,320.0
-33.0,120.0,0.0
-33.0,123.0,0.0
-33.0,135.0,0.0
-33.0,138.0,112.0
-33.0,141.0,22.0
-33.0,144.0,74.0
-33.0,147.0,256.0
-33.0,150.0,934.0
-30.0,-69.0,2268.0
-30.0,-66.0,379.0
-30.0,-63.0,99.0
-30.0,-60.0,16.0
-30.0,-57.0,137.0
-30.0,-54.0,302.0
-30.0,-51.0,0.0
-30.0,18.0,405.0
-30.0,21.0,1122.0
-30.0,24.0,1323.0
-30.0,27.0,1499.0
-30.0,30.0,310.0
-30.0,117.0,334.0
-30.0,120.0,386.0
-30.0,123.0,347.0
-30.0,126.0,165.0
-30.0,129.0,145.0
-30.0,132.0,63.0
-30.0,135.0,138.0
-30.0,138.0,31.0
-30.0,141.0,73.0
33.0,-108.0,2000.0
33.0,-105.0,1531.0
33.0,-102.0,945.0
33.0,-99.0,373.0
33.0,-96.0,139.0
33.0,-93.0,90.0
33.0,-90.0,105.0
33.0,-87.0,116.0
33.0,-84.0,197.0
33.0,-81.0,45.0
33.0,-6.0,952.0
33.0,-3.0,1528.0
33.0,0.0,1088.0
33.0,3.0,728.0
33.0,6.0,77.0
33.0,9.0,123.0
33.0,36.0,672.0
33.0,39.0,774.0
33.0,42.0,351.0
33.0,45.0,27.0
33.0,48.0,914.0
33.0,51.0,1957.0
33.0,54.0,1235.0
33.0,57.0,1072.0
33.0,60.0,1699.0
33.0,63.0,1266.0
33.0,66.0,2213.0
33.0,69.0,2499.0
33.0,72.0,287.0
33.0,75.0,1371.0
33.0,78.0,4877.0
33.0,81.0,5059.0
33.0,84.0,4582.0
33.0,87.0,5108.0
33.0,90.0,5054.0
33.0,93.0,4838.0
33.0,96.0,4923.0
33.0,99.0,4737.0
33.0,102.0,3809.0
33.0,105.0,1583.0
33.0,108.0,1471.0
33.0,111.0,433.0
33.0,114.0,85.0
33.0,117.0,22.0
33.0,120.0,3.0
36.0,-120.0,185.0
36.0,-117.0,1243.0
36.0,-114.0,916.0
36.0,-111.0,1769.0
36.0,-108.0,1903.0
36.0,-105.0,2156.0
36.0,-102.0,1108.0
36.0,-99.0,559.0
36.0,-96.0,195.0
36.0,-93.0,303.0
36.0,-90.0,73.0
36.0,-87.0,236.0
36.0,-84.0,323.0
36.0,-81.0,429.0
36.0,-78.0,66.0
36.0,3.0,936.0
36.0,6.0,1001.0
36.0,9.0,608.0
36.0,39.0,259.0
36.0,42.0,308.0
36.0,45.0,485.0
36.0,48.0,1483.0
36.0,51.0,2328.0
36.0,54.0,1376.0
36.0,57.0,887.0
36.0,60.0,955.0
36.0,63.0,597.0
36.0,66.0,1291.0
36.0,69.0,1114.0
36.0,72.0,2408.0
36.0,75.0,4749.0
36.0,78.0,4633.0
36.0,81.0,4415.0
36.0,84.0,5133.0
36.0,87.0,4833.0
36.0,90.0,5021.0
36.0,93.0,4663.0
36.0,96.0,3817.0
36.0,99.0,4467.0
36.0,102.0,2005.0
36.0,105.0,1620.0
36.0,108.0,1172.0
36.0,111.0,1305.0
36.0,114.0,349.0
36.0,117.0,87.0
36.0,120.0,99.0
36.0,129.0,150.0
36.0,138.0,899.0
39.0,-123.0,852.0
39.0,-120.0,1897.0
39.0,-117.0,1766.0
39.0,-114.0,1556.0
39.0,-111.0,1791.0
39.0,-108.0,2994.0
39.0,-105.0,2798.0
39.0,-102.0,1201.0
39.0,-99.0,552.0
39.0,-96.0,331.0
39.0,-93.0,184.0
39.0,-90.0,181.0
39.0,-87.0,149.0
39.0,-84.0,279.0
39.0,-81.0,333.0
39.0,-78.0,393.0
39.0,-9.0,21.0
39.0,-6.0,247.0
39.0,-3.0,829.0
39.0,21.0,0.0
39.0,27.0,4.0
39.0,30.0,1325.0
39.0,33.0,1059.0
39.0,36.0,1416.0
39.0,39.0,969.0
39.0,42.0,1478.0
39.0,45.0,1329.0
39.0,48.0,1176.0
39.0,54.0,-24.0
39.0,57.0,53.0
39.0,60.0,119.0
39.0,63.0,180.0
39.0,66.0,446.0
39.0,69.0,3468.0
39.0,72.0,4871.0
39.0,75.0,3774.0
39.0,78.0,1163.0
39.0,81.0,1129.0
39.0,84.0,1124.0
39.0,87.0,979.0
39.0,90.0,3061.0
39.0,93.0,2733.0
39.0,96.0,3199.0
39.0,99.0,3810.0
39.0,102.0,1362.0
39.0,105.0,1319.0
39.0,108.0,1334.0
39.0,111.0,805.0
39.0,114.0,852.0
39.0,117.0,1.0
39.0,126.0,133.0
39.0,141.0,137.0
42.0,-123.0,1440.0
42.0,-120.0,1586.0
42.0,-117.0,1583.0
42.0,-114.0,1533.0
42.0,-111.0,2004.0
42.0,-108.0,1981.0
42.0,-105.0,1506.0
