lat,lon,hydrogel_thickness_mm_standard,lcow_standard_usd_m3,hydrogel_thickness_mm_simplified,lcow_simplified_usd_m3,lcow_reduction_frac,optimal_thickness_changed
-18.0,15.0,3.25,9.548828404223805,3.25,9.47311114395449,0.007929481719016125,False
-18.0,18.0,3.25,9.482558359276542,3.25,9.407366586117154,0.00792948171901618,False
-18.0,21.0,3.25,8.94189576947433,3.25,8.870991170436936,0.007929481719016137,False
-18.0,24.0,3.25,8.112688363876742,3.25,8.048358949803307,0.007929481719016172,False
-18.0,27.0,3.25,7.567606871309249,3.25,7.507599670966502,0.007929481719016114,False
-18.0,30.0,3.25,7.299300610255781,3.25,7.241420939505154,0.007929481719016116,False
-18.0,33.0,3.25,5.1828299398364575,3.25,5.141732784575755,0.007929481719016133,False
-18.0,36.0,3.25,5.023929501619158,3.25,4.9840923444784435,0.007929481719015969,False
-18.0,45.0,3.25,5.146410663837326,3.25,5.105602294559878,0.007929481719016163,False
-18.0,48.0,3.25,5.585875326166525,3.25,5.541582229882984,0.00792948171901615,False
-18.0,123.0,3.25,6.223283156088274,3.25,6.1739357460698105,0.00792948171901624,False
-18.0,126.0,3.25,7.055369743851137,3.25,6.99942431844637,0.007929481719016099,False
-18.0,129.0,3.25,7.15608522385851,3.25,7.099341176896203,0.007929481719016068,False
-18.0,132.0,3.25,7.227738351793262,3.25,7.170426132662886,0.00792948171901602,False
-18.0,135.0,3.25,6.756062939493054,3.25,6.702490861921821,0.007929481719016189,False
-18.0,138.0,3.25,6.310277638912007,3.25,6.260240407732338,0.007929481719016102,False
-18.0,141.0,3.25,6.075594060426405,3.25,6.027417748392091,0.007929481719016057,False
-18.0,144.0,3.25,5.940384006339899,3.25,5.893279839957692,0.007929481719016059,False
-15.0,-75.0,3.25,4.7494931501202435,3.25,4.711832131011773,0.007929481719016026,False
-15.0,-72.0,3.25,6.9739880628439535,3.25,6.918687951990996,0.007929481719016128,False
-15.0,-69.0,3.25,8.58713003638342,3.25,8.519038545741104,0.00792948171901616,False
-15.0,-66.0,3.25,5.731195913128479,3.25,5.685750499907226,0.007929481719016217,False
-15.0,-63.0,3.25,5.806741535673433,3.25,5.760697084819259,0.007929481719016215,False
-15.0,-60.0,3.25,5.691741540929041,3.25,5.646608980430879,0.007929481719016106,False
-15.0,-57.0,3.25,5.53079539757384,3.25,5.48693905657716,0.007929481719016016,False
-15.0,-54.0,3.25,5.713209906472242,3.25,5.667907112961968,0.007929481719016198,False
-15.0,-51.0,3.25,6.283259942549902,3.25,6.2334369476996265,0.007929481719016123,False
-15.0,-48.0,3.25,6.556881185072888,3.25,6.504888515582092,0.007929481719016147,False
-15.0,-45.0,3.25,5.699841918624382,3.25,5.654645126329369,0.007929481719016047,False
-15.0,-42.0,3.25,5.953871220716815,3.25,5.906660107714765,0.007929481719016137,False
-15.0,-39.0,3.25,5.053585254550714,3.25,5.013512942659265,0.007929481719016057,False
-15.0,15.0,3.25,6.605205093285838,3.25,6.5528292402482755,0.007929481719016218,False
-15.0,18.0,3.25,7.4392265665428035,3.25,7.3802373554797835,0.007929481719016078,False
-15.0,21.0,3.25,7.370335569750777,3.25,7.311892628587424,0.007929481719016102,False
-15.0,24.0,3.25,7.12513005608539,3.25,7.068631467560049,0.007929481719016042,False
-15.0,27.0,3.25,6.5662040508918516,3.25,6.514137455906975,0.007929481719016104,False
-15.0,30.0,3.25,7.105846838742896,3.25,7.049501156136956,0.007929481719016092,False
-15.0,33.0,3.25,6.547561648461875,3.25,6.495642878066266,0.007929481719016078,False
-15.0,36.0,3.25,5.601701264566709,3.25,5.557282676793938,0.007929481719016118,False
-15.0,39.0,3.25,4.865076703403563,3.25,4.826499166622313,0.007929481719016118,False
-15.0,48.0,3.25,5.3150915113951935,3.25,5.2729455904206874,0.007929481719016147,False
-15.0,126.0,3.25,5.438057608903771,3.25,5.394936630507012,0.007929481719016003,False
-15.0,129.0,3.25,5.6878176775906155,3.25,5.642716231295064,0.007929481719016111,False
-15.0,132.0,3.25,5.96620367536456,3.25,5.918894772388829,0.007929481719016236,False
-15.0,135.0,3.25,5.015924377201153,3.25,4.976150696548169,0.007929481719016154,False
-15.0,144.0,3.25,5.546221218446276,3.25,5.502242558684987,0.00792948171901615,False
-12.0,-75.0,3.25,9.776880536146411,3.25,9.699354940666035,0.007929481719015941,False
-12.0,-72.0,3.25,9.368135442321117,3.25,9.293850983589966,0.007929481719016014,False
-12.0,-69.0,3.25,5.350744272705849,3.25,5.308315643812298,0.00792948171901602,False
-12.0,-66.0,3.25,5.454141978457222,3.25,5.410893459346127,0.00792948171901608,False
-12.0,-63.0,3.25,5.425246754542626,3.25,5.3822273595813295,0.00792948171901601,False
-12.0,-60.0,3.25,5.676862192497164,3.25,5.631847617520385,0.007929481719015972,False
-12.0,-57.0,3.25,5.757929203473344,3.25,5.712271809115013,0.00792948171901616,False
-12.0,-54.0,3.25,5.481558502898677,3.25,5.438092584958224,0.007929481719016196,False
-12.0,-51.0,3.25,5.875328372949525,3.25,5.828740064023005,0.007929481719016083,False
-12.0,-48.0,3.25,6.517370852636414,3.25,6.465691479604384,0.007929481719016173,False
-12.0,-45.0,3.25,5.78261419559077,3.25,5.73676106203871,0.007929481719016139,False
-12.0,-42.0,3.25,5.7304303157081815,3.25,5.684990973277678,0.007929481719016071,False
-12.0,-39.0,3.25,5.171274976468762,3.25,5.130269446078848,0.007929481719016087,False
-12.0,15.0,3.25,6.1861403916589115,3.25,6.137087504511985,0.007929481719016068,False
-12.0,18.0,3.25,6.740565524510066,3.25,6.687116333407633,0.007929481719016149,False
-12.0,21.0,3.25,6.733074043516623,3.25,6.6796842559757765,0.007929481719016102,False
-12.0,24.0,3.25,6.1852510102063745,3.25,6.136205175393417,0.007929481719016192,False
-12.0,27.0,3.25,6.142401794555751,3.25,6.09369573181497,0.007929481719016113,False
-12.0,30.0,3.25,6.16744517384597,3.25,6.118540530086924,0.007929481719016206,False
-12.0,33.0,3.25,6.439010154007755,3.25,6.387952140702992,0.007929481719016002,False
-12.0,36.0,3.25,6.106330965357063,3.25,6.057910925597002,0.007929481719016163,False
