lat,lon,mean_rh_frac,mean_t_amb_c,mean_solar_w_m2,salt,hydrogel_thickness_mm,eps_abs,tau_glass,eps_abs_ir,eps_glass_ir,fin_area_ratio,vapor_gap_mm,warmup_method,resolution,mean_yield_kg_m2,mean_eta_thermal,n_periods
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,12.0,40.0,aitken-gpu-fixed-round,monthly,0.575208,0.153923,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,12.0,50.0,aitken-gpu-fixed-round,monthly,0.570662,0.154409,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,12.0,60.0,aitken-gpu-fixed-round,monthly,0.563074,0.150524,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,3.0,20.0,aitken-gpu-fixed-round,monthly,0.508879,0.116752,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,3.0,30.0,aitken-gpu-fixed-round,monthly,0.552030,0.150715,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,3.0,40.0,aitken-gpu-fixed-round,monthly,0.532632,0.135479,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,3.0,50.0,aitken-gpu-fixed-round,monthly,0.527114,0.134068,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,3.0,60.0,aitken-gpu-fixed-round,monthly,0.532355,0.140632,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,5.275,20.0,aitken-gpu-fixed-round,monthly,0.521554,0.120205,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,5.275,30.0,aitken-gpu-fixed-round,monthly,0.563764,0.153533,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,5.275,40.0,aitken-gpu-fixed-round,monthly,0.543677,0.138272,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,5.275,50.0,aitken-gpu-fixed-round,monthly,0.537638,0.136730,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,5.275,60.0,aitken-gpu-fixed-round,monthly,0.542943,0.143527,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,7.55,20.0,aitken-gpu-fixed-round,monthly,0.526791,0.121750,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,7.55,30.0,aitken-gpu-fixed-round,monthly,0.570665,0.157548,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,7.55,40.0,aitken-gpu-fixed-round,monthly,0.547974,0.139386,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,7.55,50.0,aitken-gpu-fixed-round,monthly,0.541716,0.137780,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,7.55,60.0,aitken-gpu-fixed-round,monthly,0.547083,0.144706,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,9.825,20.0,aitken-gpu-fixed-round,monthly,0.529184,0.122367,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,9.825,30.0,aitken-gpu-fixed-round,monthly,0.573358,0.158504,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,9.825,40.0,aitken-gpu-fixed-round,monthly,0.550342,0.140034,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,9.825,50.0,aitken-gpu-fixed-round,monthly,0.543889,0.138356,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,9.825,60.0,aitken-gpu-fixed-round,monthly,0.549257,0.145316,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,12.0,20.0,aitken-gpu-fixed-round,monthly,0.530519,0.122692,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,12.0,30.0,aitken-gpu-fixed-round,monthly,0.574850,0.158928,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,12.0,40.0,aitken-gpu-fixed-round,monthly,0.551764,0.140433,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,12.0,50.0,aitken-gpu-fixed-round,monthly,0.545166,0.138681,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,5.5,0.95,0.9,,,12.0,60.0,aitken-gpu-fixed-round,monthly,0.551194,0.146405,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,3.0,20.0,aitken-gpu-fixed-round,monthly,0.369036,0.083477,12
