lat,lon,hydrogel_thickness_mm_standard,lcow_standard_usd_m3,hydrogel_thickness_mm_simplified,lcow_simplified_usd_m3,lcow_reduction_frac,optimal_thickness_changed
-18.0,144.0,3.25,4.85418719972863,3.25,4.815696011067699,0.007929481719016267,False
-15.0,-75.0,3.25,4.000295539150935,3.25,3.968575268802576,0.007929481719016047,False
-15.0,-72.0,3.25,5.871818643840354,3.25,5.825258165246644,0.00792948171901609,False
-15.0,-69.0,3.25,7.092936254848598,3.25,7.03669294648163,0.007929481719016002,False
-15.0,-66.0,3.25,4.704611523730751,3.25,4.667306392658255,0.007929481719016189,False
-15.0,-63.0,3.25,4.751710052626566,3.25,4.714031454630199,0.007929481719016153,False
-15.0,-60.0,3.25,4.651240564314866,3.25,4.614358637289385,0.007929481719016222,False
-15.0,-57.0,3.25,4.5318286880423555,3.25,4.495893635306811,0.007929481719016019,False
-15.0,-54.0,3.25,4.6547778601061065,3.25,4.617867884158314,0.00792948171901614,False
-15.0,-51.0,3.25,5.057564794511039,3.25,5.017460926930224,0.00792948171901624,False
-15.0,-48.0,3.25,5.310075273930387,3.25,5.267969129119156,0.007929481719016206,False
-15.0,-45.0,3.25,4.643795571152144,3.25,4.606972679063845,0.007929481719016161,False
-15.0,-42.0,3.25,4.890474579711894,3.25,4.851695650934755,0.007929481719016121,False
-15.0,-39.0,3.25,4.200624369899468,3.25,4.167315595749897,0.007929481719016017,False
-15.0,15.0,3.25,5.341993473000976,3.25,5.299634233413711,0.007929481719016173,False
-15.0,18.0,3.25,5.939580519316727,3.25,5.892482724170181,0.007929481719016057,False
-15.0,21.0,3.25,5.886987005021348,3.25,5.8403062491849465,0.007929481719016036,False
-15.0,24.0,3.25,5.701392051214461,3.25,5.656182967171413,0.007929481719016104,False
-15.0,27.0,3.25,5.284533295281799,3.25,5.2426296851233305,0.007929481719015965,False
-15.0,30.0,3.25,5.634996823135921,3.25,5.590314218840151,0.0079294817190162,False
-15.0,33.0,3.25,5.234118559066218,3.25,5.192614711636939,0.007929481719016083,False
-15.0,36.0,3.25,4.594161445730229,3.25,4.557732126532103,0.007929481719016146,False
-15.0,39.0,3.25,4.0513363321485,3.25,4.019211334765143,0.007929481719015993,False
-15.0,48.0,3.25,4.388360460409612,3.25,4.353563036362342,0.007929481719015936,False
