discount_rate,device_lifetime_years,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
0.11428571428571427,19.0,21.497021836022054,0.0016638301493752347,10.0,23.351243524827357,-9888.375238169803,inf,inf
0.12,19.0,21.497021836022054,0.0016638301493752347,10.0,23.932239203812607,-9847.68645898319,inf,inf
0.04,20.0,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,-10804.878490519637,inf,inf
0.045714285714285714,20.0,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,-10702.996929265399,inf,inf
0.05142857142857143,20.0,21.497021836022054,0.0016638301493752347,10.0,17.2007161850222,-10608.398240876557,inf,inf
0.05714285714285714,20.0,21.497021836022054,0.0016638301493752347,10.0,17.688914363058938,-10520.459353093343,inf,inf
0.06285714285714286,20.0,21.497021836022054,0.0016638301493752347,10.0,18.188022924930465,-10438.616905320105,inf,inf
0.06857142857142856,20.0,21.497021836022054,0.0016638301493752347,10.0,18.69769242893545,-10362.361029925236,inf,inf
0.07428571428571429,20.0,21.497021836022054,0.0016638301493752347,10.0,19.21756475858883,-10291.229825697794,inf,inf
0.07999999999999999,20.0,21.497021836022054,0.0016638301493752347,10.0,19.747275406038497,-10224.804441979219,inf,inf
0.08571428571428572,20.0,21.497021836022054,0.0016638301493752347,10.0,20.28645564648106,-10162.704702062649,inf,inf
0.09142857142857141,20.0,21.497021836022054,0.0016638301493752347,10.0,20.834734587557513,-10104.585203224755,inf,inf
0.09714285714285714,20.0,21.497021836022054,0.0016638301493752347,10.0,21.391741081177962,-10050.13183840123,inf,inf
0.10285714285714284,20.0,21.497021836022054,0.0016638301493752347,10.0,21.957105488560217,-9999.058691187463,inf,inf
0.10857142857142857,20.0,21.497021836022054,0.0016638301493752347,10.0,22.530461292406926,-9951.10526166996,inf,inf
0.11428571428571427,20.0,21.497021836022054,0.0016638301493752347,10.0,23.111446553037588,-9906.03398568394,inf,inf
0.12,20.0,21.497021836022054,0.0016638301493752347,10.0,23.69970520789994,-9863.628014544443,inf,inf
0.04,21.0,21.497021836022054,0.0016638301493752347,10.0,15.974342869042488,-10872.360969063679,inf,inf
0.045714285714285714,21.0,21.497021836022054,0.0016638301493752347,10.0,16.443426261423912,-10763.144388798348,inf,inf
0.05142857142857143,21.0,21.497021836022054,0.0016638301493752347,10.0,16.924567129357694,-10662.041590663317,inf,inf
0.05714285714285714,21.0,21.497021836022054,0.0016638301493752347,10.0,17.417403069288145,-10568.33160713507,inf,inf
0.06285714285714286,21.0,21.497021836022054,0.0016638301493752347,10.0,17.921556815577542,-10481.365155697156,inf,inf
0.06857142857142856,21.0,21.497021836022054,0.0016638301493752347,10.0,18.436639181711428,-10400.556902489676,inf,inf
0.07428571428571429,21.0,21.497021836022054,0.0016638301493752347,10.0,18.96225190916203,-10325.378617158334,inf,inf
0.07999999999999999,21.0,21.497021836022054,0.0016638301493752347,10.0,19.497990394390488,-10255.35311044982,inf,inf
0.08571428571428572,21.0,21.497021836022054,0.0016638301493752347,10.0,20.043446269363265,-10190.04885994535,inf,inf
0.09142857142857141,21.0,21.497021836022054,0.0016638301493752347,10.0,20.59820981587311,-10129.075241324528,inf,inf
0.09714285714285714,21.0,21.497021836022054,0.0016638301493752347,10.0,21.161872198752935,-10072.078292962855,inf,inf
0.10285714285714284,21.0,21.497021836022054,0.0016638301493752347,10.0,21.73402750763644,-10018.736950707042,inf,inf
0.10857142857142857,21.0,21.497021836022054,0.0016638301493752347,10.0,22.314274601162733,-9968.759697530391,inf,inf
0.11428571428571427,21.0,21.497021836022054,0.0016638301493752347,10.0,22.90221875137379,-9921.881579606885,inf,inf
0.12,21.0,21.497021836022054,0.0016638301493752347,10.0,23.4974730894687,-9877.861546295564,inf,inf
0.04,23.0,21.497021836022054,0.0016638301493752347,10.0,15.484271961592896,-10999.639312471447,inf,inf
0.045714285714285714,23.0,21.497021836022054,0.0016638301493752347,10.0,15.960886800822937,-10875.666062773063,inf,inf
0.05142857142857143,23.0,21.497021836022054,0.0016638301493752347,10.0,16.450486091342388,-10761.585052689345,inf,inf
0.05714285714285714,23.0,21.497021836022054,0.0016638301493752347,10.0,16.95262476897252,-10656.452922098657,inf,inf
0.06285714285714286,23.0,21.497021836022054,0.0016638301493752347,10.0,17.466840367809972,-10559.42680206004,inf,inf
0.06857142857142856,23.0,21.497021836022054,0.0016638301493752347,10.0,17.992657174994616,-10469.752719554996,inf,inf
0.07428571428571429,23.0,21.497021836022054,0.0016638301493752347,10.0,18.529590214464843,-10386.75542729671,inf,inf
0.07999999999999999,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765183,-10309.829473977643,inf,inf
0.08571428571428572,23.0,21.497021836022054,0.0016638301493752347,10.0,19.634841117191463,-10238.431355367995,inf,inf
0.09142857142857141,23.0,21.497021836022054,0.0016638301493752347,10.0,20.202175317647676,-10172.072608180988,inf,inf
0.09714285714285714,23.0,21.497021836022054,0.0016638301493752347,10.0,20.77866458827054,-10110.313727105116,inf,inf
0.10285714285714284,23.0,21.497021836022054,0.0016638301493752347,10.0,21.363828702931738,-10052.75880130869,inf,inf
0.10857142857142857,23.0,21.497021836022054,0.0016638301493752347,10.0,21.9571965419957,-9999.050780421436,inf,inf
0.11428571428571427,23.0,21.497021836022054,0.0016638301493752347,10.0,22.558308086082413,-9948.867291809662,inf,inf
0.12,23.0,21.497021836022054,0.0016638301493752347,10.0,23.166716106005854,-9901.916941155556,inf,inf
0.04,24.0,21.497021836022054,0.0016638301493752347,10.0,15.27173046644204,-11059.630990171187,inf,inf
0.045714285714285714,24.0,21.497021836022054,0.0016638301493752347,10.0,15.752148597649082,-10928.265144884912,inf,inf
0.05142857142857143,24.0,21.497021836022054,0.0016638301493752347,10.0,16.245993638840933,-10807.735569289609,inf,inf
0.05714285714285714,24.0,21.497021836022054,0.0016638301493752347,10.0,16.75277536692587,-10696.974172410366,inf,inf
0.06285714285714286,24.0,21.497021836022054,0.0016638301493752347,10.0,17.271985061809094,-10595.030381124514,inf,inf
0.06857142857142856,24.0,21.497021836022054,0.0016638301493752347,10.0,17.803100379599655,-10501.0571467956,inf,inf
0.07428571428571429,24.0,21.497021836022054,0.0016638301493752347,10.0,18.34558999803689,-10414.298725029666,inf,inf
0.07999999999999999,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,-10334.079991929844,inf,inf
0.08571428571428572,24.0,21.497021836022054,0.0016638301493752347,10.0,19.462547799831796,-10259.797093252906,inf,inf
0.09142857142857141,24.0,21.497021836022054,0.0016638301493752347,10.0,20.035946036508868,-10190.909251101182,inf,inf
0.09714285714285714,24.0,21.497021836022054,0.0016638301493752347,10.0,20.618585654575135,-10126.931576937752,inf,inf
0.10285714285714284,24.0,21.497021836022054,0.0016638301493752347,10.0,21.209948922263305,-10067.428760402454,inf,inf
0.10857142857142857,24.0,21.497021836022054,0.0016638301493752347,10.0,21.809529930962306,-10012.009521146412,inf,inf
0.11428571428571427,24.0,21.497021836022054,0.0016638301493752347,10.0,22.416836735353982,-9960.321726129967,inf,inf
0.12,24.0,21.497021836022054,0.0016638301493752347,10.0,23.031393126616393,-9912.048087912628,inf,inf
0.04,26.0,21.497021836022054,0.0016638301493752347,10.0,14.899097144832796,-11172.78097399836,inf,inf
0.045714285714285714,26.0,21.497021836022054,0.0016638301493752347,10.0,15.38715648564458,-11026.66558963714,inf,inf
0.05142857142857143,26.0,21.497021836022054,0.0016638301493752347,10.0,15.88948397854819,-10893.374930271759,inf,inf
