hydrogel_thickness_mm,ua_wh_desorber_w_k,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
4.214285714285714,434.2857142857143,22.521481542050907,0.001623281855717692,10.0,18.857074068295177,-10065.455125806951,inf,inf
4.857142857142858,434.2857142857143,20.437305234750568,0.0015691723937596583,9.0,23.118624689390053,-10748.70866575795,inf,inf
5.5,434.2857142857143,21.200516868145385,0.0015367146443420248,9.0,22.314920065170153,-10655.513205928693,inf,inf
6.142857142857143,434.2857142857143,18.967412591972995,0.00150232424765304,8.0,28.095816847714257,-11303.067661955401,inf,inf
6.7857142857142865,434.2857142857143,19.613471479566986,0.001479326180635547,8.0,27.205081054457708,-11237.293916588162,inf,inf
7.428571428571429,434.2857142857143,20.251774316708634,0.001458776328966439,8.0,26.381254506767274,-11172.520782833777,inf,inf
8.071428571428573,434.2857142857143,20.88408806997845,0.001440443417705209,8.0,25.615116244097724,-11108.520303526315,inf,inf
8.714285714285715,434.2857142857143,18.395126161745505,0.0014208882519964779,7.0,33.27772615753281,-11743.842477461338,inf,inf
9.357142857142858,434.2857142857143,18.945394080656598,0.0014059490719346404,7.0,32.3522648290847,-11699.300558190864,inf,inf
10.0,434.2857142857143,19.48852106903443,0.0013924907310156151,7.0,31.49058052993135,-11655.56473679254,inf,inf
1.0,480.0,33.954153007154424,0.002635063300222199,21.0,5.917849915566787,-2110.8082869577074,12.956188792481932,inf
1.6428571428571428,480.0,28.19930204552008,0.002222854281854205,15.0,9.988654455862724,-6805.780899852496,44.816833567875975,inf
2.2857142857142856,480.0,26.217861596852238,0.0019774556024367324,13.0,12.41239912139013,-8148.249841020857,150.9750871707642,inf
2.928571428571429,480.0,22.48332909852754,0.0017980936924271343,11.0,17.127819216546115,-9673.885422117668,inf,inf
3.5714285714285716,480.0,23.757772675808848,0.0017209950435575867,11.0,16.22987851265858,-9465.38727521304,inf,inf
4.214285714285714,480.0,21.787327118770783,0.001647597297054533,10.0,19.492489521586762,-10183.847122816203,inf,inf
4.857142857142858,480.0,22.614309618715343,0.001604896127258943,10.0,18.803764413639133,-10068.05999200094,inf,inf
5.5,480.0,20.427145992213184,0.0015621520811168303,9.0,23.159761986967702,-10767.757752272486,inf,inf
6.142857142857143,480.0,21.059621912574162,0.0015351861767963222,9.0,22.492962650866847,-10693.536850778812,inf,inf
6.7857142857142865,480.0,21.66010248271239,0.0015120544289006894,9.0,21.897345101097642,-10623.959650881134,inf,inf
7.428571428571429,480.0,19.274411349445113,0.0014888065680966997,8.0,27.718989844928576,-11298.610825830701,inf,inf
8.071428571428573,480.0,19.808586937272754,0.001470953691841475,8.0,27.00588109883864,-11247.271196089587,inf,inf
8.714285714285715,480.0,20.34562798718121,0.0014546338593662063,8.0,26.32651471870074,-11195.561891776098,inf,inf
9.357142857142858,480.0,20.845634554884217,0.001440375559721812,8.0,25.72771792364497,-11148.630422934248,inf,inf
10.0,480.0,18.33319322430241,0.0014246926220787047,7.0,33.475065397739385,-11785.982938305191,inf,inf
1.0,525.7142857142858,33.576671381089625,0.0026778503785841895,21.0,5.984380620280567,-2238.643364247465,13.21192754944357,inf
1.6428571428571428,525.7142857142858,30.38255343648755,0.0022900754973966303,16.0,8.69145237676008,-5787.705775488352,29.23011767639967,inf
2.2857142857142856,525.7142857142858,25.750781833625158,0.001995742237215406,13.0,12.637541040579594,-8246.169373248413,182.50760460932472,inf
2.928571428571429,525.7142857142858,24.843399244225203,0.0018436435770308158,12.0,14.208986715841764,-8854.601760229467,inf,inf
3.5714285714285716,525.7142857142858,23.183315671657176,0.0017394768037097559,11.0,16.63203700974645,-9567.289846030446,inf,inf
4.214285714285714,525.7142857142858,21.241488459989775,0.0016664203926725228,10.0,19.99338447330681,-10271.870741293098,inf,inf
4.857142857142858,525.7142857142858,21.991154061221593,0.0016246584677652846,10.0,19.33660003760845,-10168.551971017388,inf,inf
5.5,525.7142857142858,22.592014133876194,0.001592533629893734,10.0,18.846440729255953,-10089.230037286723,inf,inf
6.142857142857143,525.7142857142858,20.31817511376332,0.0015589876646280106,9.0,23.31377136324526,-10801.148039873908,inf,inf
6.7857142857142865,525.7142857142858,20.860774997579348,0.0015362278764912364,9.0,22.73639109974949,-10739.971455490064,inf,inf
7.428571428571429,525.7142857142858,21.371539647107337,0.0015166990189617808,9.0,22.22133719417269,-10683.415333993578,inf,inf
8.071428571428573,525.7142857142858,19.020743767743397,0.0014962717805847435,8.0,28.124470320178172,-11348.911203382808,inf,inf
8.714285714285715,525.7142857142858,19.4609469674055,0.0014813862073949234,8.0,27.523299640168286,-11309.694994378098,inf,inf
9.357142857142858,525.7142857142858,19.86313761235759,0.0014683859268184913,8.0,27.00029654093285,-11275.382802425753,inf,inf
10.0,525.7142857142858,20.322854012611607,0.0014548094636040597,8.0,26.42304749792914,-11233.649186496436,inf,inf
1.0,571.4285714285714,35.44669315159471,0.002741669134135696,22.0,5.411002520412559,-1033.7316511030913,11.139456502415833,28.817754555734474
1.6428571428571428,571.4285714285714,30.016931165362294,0.0023108483003666733,16.0,8.79731891387687,-5882.043968014501,30.20348840216613,inf
2.2857142857142856,571.4285714285714,25.399119483158913,0.002010370347050939,13.0,12.81251353871496,-8319.892569093565,216.56174488953954,inf
2.928571428571429,571.4285714285714,24.43920611832027,0.0018578834834636201,12.0,14.443985133088177,-8932.819470023262,inf,inf
3.5714285714285716,571.4285714285714,22.747870450375466,0.0017535821384201521,11.0,16.950411472612966,-9644.533203110388,inf,inf
4.214285714285714,571.4285714285714,23.646873487772282,0.0016959171965062695,11.0,16.326942017648864,-9502.634220158512,inf,inf
4.857142857142858,571.4285714285714,21.410935913309103,0.0016428338071748834,10.0,19.86060544802249,-10262.119731496792,inf,inf
5.5,571.4285714285714,22.01882307292428,0.0016101983190728412,10.0,19.337048756799383,-10181.664588141504,inf,inf
6.142857142857143,571.4285714285714,19.80256510517572,0.0015771385538961408,9.0,23.920804532371697,-10875.982008032424,inf,inf
6.7857142857142865,571.4285714285714,20.274463183261442,0.0015556337039466035,9.0,23.39389875339435,-10825.066854944813,inf,inf
7.428571428571429,571.4285714285714,20.73335557759255,0.0015366570886894977,9.0,22.905322154897306,-10776.03930471161,inf,inf
