water_price_usd_per_m3,device_lifetime_years,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
6.142857142857142,20.0,21.497021836022054,0.0016638301493752347,10.0,19.7472754060385,-9432.42141061268,inf,inf
7.857142857142857,20.0,21.497021836022054,0.0016638301493752347,10.0,19.7472754060385,-8243.846863562874,181.60794875094538,inf
9.571428571428571,20.0,21.497021836022054,0.0016638301493752347,10.0,19.7472754060385,-7055.272316513068,51.55373107723085,inf
11.285714285714285,20.0,21.497021836022054,0.0016638301493752347,10.0,19.7472754060385,-5866.697769463262,30.04075681947439,inf
13.0,20.0,21.497021836022054,0.0016638301493752347,10.0,19.7472754060385,-4678.1232224134565,21.195879728356715,inf
14.714285714285714,20.0,21.497021836022054,0.0016638301493752347,10.0,19.7472754060385,-3489.5486753636496,16.374691742416193,inf
16.428571428571427,20.0,21.497021836022054,0.0016638301493752347,10.0,19.7472754060385,-2300.9741283138455,13.340319538409775,inf
18.142857142857142,20.0,21.497021836022054,0.0016638301493752347,10.0,19.7472754060385,-1112.399581264037,11.254722061290046,29.968018380670944
19.857142857142858,20.0,21.497021836022054,0.0016638301493752347,10.0,19.7472754060385,76.17496578576902,9.733073791493199,19.594220530394484
21.57142857142857,20.0,21.497021836022054,0.0016638301493752347,10.0,19.7472754060385,1264.749512835575,8.573877986202955,15.04756761916531
23.285714285714285,20.0,21.497021836022054,0.0016638301493752347,10.0,19.7472754060385,2453.324059885379,7.661414031068038,12.332293163315255
25.0,20.0,21.497021836022054,0.0016638301493752347,10.0,19.7472754060385,3641.8986069351868,6.924484644383018,10.490293255479605
1.0,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,-13084.808181475943,inf,inf
2.7142857142857144,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,-11872.184579607605,inf,inf
4.428571428571429,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,-10659.560977739266,inf,inf
6.142857142857142,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,-9446.937375870928,inf,inf
7.857142857142857,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,-8234.31377400259,181.60794875094538,inf
9.571428571428571,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,-7021.690172134253,51.55373107723085,inf
11.285714285714285,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,-5809.066570265917,30.04075681947439,inf
13.0,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,-4596.442968397579,21.195879728356715,inf
14.714285714285714,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,-3383.81936652924,16.374691742416193,inf
16.428571428571427,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,-2171.1957646609053,13.340319538409775,inf
18.142857142857142,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,-958.572162792565,11.254722061290046,29.968018380670944
19.857142857142858,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,254.05143907577258,9.733073791493199,19.594220530394484
21.57142857142857,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,1466.6750409441083,8.573877986202955,15.04756761916531
23.285714285714285,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,2679.298642812446,7.661414031068038,12.332293163315255
25.0,21.0,21.497021836022054,0.0016638301493752347,10.0,19.49799039439049,3891.9222446807835,6.924484644383018,10.490293255479605
1.0,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,-13239.351485492396,inf,inf
2.7142857142857144,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,-11983.842051986074,inf,inf
4.428571428571429,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,-10728.33261847975,inf,inf
6.142857142857142,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,-9472.823184973427,inf,inf
7.857142857142857,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,-8217.313751467105,181.60794875094538,inf
9.571428571428571,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,-6961.804317960783,51.55373107723085,inf
11.285714285714285,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,-5706.294884454461,30.04075681947439,inf
13.0,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,-4450.785450948138,21.195879728356715,inf
14.714285714285714,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,-3195.2760174418154,16.374691742416193,inf
16.428571428571427,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,-1939.766583935494,13.340319538409775,inf
18.142857142857142,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,-684.2571504291691,11.254722061290046,29.968018380670944
19.857142857142858,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,571.2522830771541,9.733073791493199,19.594220530394484
21.57142857142857,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,1826.7617165834745,8.573877986202955,15.04756761916531
23.285714285714285,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,3082.2711500897967,7.661414031068038,12.332293163315255
25.0,23.0,21.497021836022054,0.0016638301493752347,10.0,19.077149013765187,4337.780583596119,6.924484644383018,10.490293255479605
1.0,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,-13308.147471966957,inf,inf
2.7142857142857144,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,-12033.547123379623,inf,inf
4.428571428571429,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,-10758.946774792288,inf,inf
6.142857142857142,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,-9484.346426204953,inf,inf
7.857142857142857,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,-8209.74607761762,181.60794875094538,inf
9.571428571428571,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,-6935.145729030285,51.55373107723085,inf
11.285714285714285,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,-5660.545380442952,30.04075681947439,inf
13.0,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,-4385.945031855617,21.195879728356715,inf
14.714285714285714,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,-3111.344683268282,16.374691742416193,inf
16.428571428571427,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,-1836.7443346809505,13.340319538409775,inf
18.142857142857142,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,-562.1439860936134,11.254722061290046,29.968018380670944
19.857142857142858,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,712.4563624937218,9.733073791493199,19.594220530394484
21.57142857142857,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,1987.0567110810534,8.573877986202955,15.04756761916531
23.285714285714285,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,3261.657059668387,7.661414031068038,12.332293163315255
25.0,24.0,21.497021836022054,0.0016638301493752347,10.0,18.898917978312717,4536.257408255722,6.924484644383018,10.490293255479605
1.0,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,-13430.828929329,inf,inf
2.7142857142857144,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,-12122.18442490447,inf,inf
4.428571428571429,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,-10813.53992047994,inf,inf
6.142857142857142,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,-9504.895416055411,inf,inf
7.857142857142857,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,-8196.250911630883,181.60794875094538,inf
9.571428571428571,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,-6887.606407206352,51.55373107723085,inf
11.285714285714285,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,-5578.9619027818235,30.04075681947439,inf
13.0,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,-4270.317398357293,21.195879728356715,inf
14.714285714285714,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,-2961.672893932764,16.374691742416193,inf
16.428571428571427,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,-1653.0283895082366,13.340319538409775,inf
18.142857142857142,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,-344.3838850837037,11.254722061290046,29.968018380670944
19.857142857142858,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,964.2606193408265,9.733073791493199,19.594220530394484
21.57142857142857,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,2272.905123765353,8.573877986202955,15.04756761916531
